province,municipal sludge_ofloxacin_ug_kg,municipal sludge_norfloxacin_ug_kg,sediments_tetracycline_ug_kg,sediments_oxytetracycline_ug_kg,soil_sulfamethazine_ug_kg,soil_enrofloxacin_ug_kg,soil_ciprofloxacin_ug_kg,soil_chlortetracycline_ug_kg,sediments_ofloxacin_ug_kg,sediments_enrofloxacin_ug_kg,sediments_ciprofloxacin_ug_kg,sediments_erythromycin_ug_kg,sediments_doxycycline_ug_kg,sediments_norfloxacin_ug_kg,sediments_trimethoprim_ug_kg,sediments_sulfamethazine_ug_kg,sediments_sulfamethoxazole_ug_kg,sediments_sulfadiazine_ug_kg,sediments_chlortetracycline_ug_kg,sediments_roxithromycin_ug_kg,sediments_sulfathiazole_ug_kg,soil_sulfadiazine_ug_kg,soil_doxycycline_ug_kg,soil_tetracycline_ug_kg,soil_oxytetracycline_ug_kg,sediments_sulfapyridine_ug_kg,S_aureus_penicillin_g_resistant_pc,S_aureus_erythromycin_resistant_pc,S_aureus_oxacillin_resistant_pc,S_aureus_clindamycin_resistant_pc,S_aureus_ciprofloxacin_resistant_pc,S_aureus_tetracycline_resistant_pc,S_aureus_levofloxacin_resistant_pc,S_aureus_gentamicin_resistant_pc,S_aureus_chloramphenicol_resistant_pc,S_aureus_rifampicin_resistant_pc,E_coli_amoxicillin_resistant_pc,E_coli_ampicillin_resistant_pc,E_coli_cefazolin_resistant_pc,E_coli_cefotaxime_resistant_pc,E_coli_ceftriaxone_resistant_pc,E_coli_chloramphenicol_resistant_pc,E_coli_ciprofloxacin_resistant_pc,E_coli_gentamicin_resistant_pc,E_coli_levofloxacin_resistant_pc,Total_Water_Resources_100_million_cu_m,Surface_Water_Resources_100_million_cu_m,Groundwater_Resources_100_million_cu_m,Overlapped_Measurement_100_million_cu_m,Per_Capita_Water_Resources_cu_m_person,Water_Supply_100_million_cu_m,Surface_Water_Supply_100_million_cu_m,Groundwater_Supply_100_million_cu_m,Nonconventional_Water_Supply_100_million_cu_m,Water_Use_100_million_cu_m,Agriculture_Use_100_million_cu_m,Industry_Use_100_million_cu_m,Households_Service_Use_100_million_cu_m,Artificial_Ecoenvironment_Use_100_million_cu_m,Per_Capita_Water_Use_cu_m_person,Cultivated_Land_1000_ha,Garden_Land_1000_ha,Forest_Land_1000_ha,Grassland_1000_ha,Wetland_1000_ha,Land_for_Urban_Rural_Industrial_Mining_1000_ha,Land_Used_for_Transport_1000_ha,Land_Used_for_Water_Water_Conservancy_1000_ha,Investment_in_Urban_Env_Infra_10000_yuan,Gas_Supply_10000_yuan,Centralized_Heating_10000_yuan,Drainage_Works_10000_yuan),Gardening_Greening_10000_yuan,Environmental_Sanitation_10000_yuan),Irrigated_Area_of_Cultivated_Land_1000_ha,Consumption_of_Chemical_Fertilizers_10000_tons,Nitrogenous_Fertilizer_10000_tons,Phosphatic_Fertilizer_10000_tons,Potassic_Fertilizer_10000_tons,Compound_Fertilizer_10000_tons,Village_Clinics...37,Village_run,Outlets_of_Township_Health_Centers,Joint_run,Private_run,Others,Investment_Completed_in_Treatment_of_Industrial_Pollution_10000_yuan,Treatment_of_Wastewater_10000_yuan,Treatment_of_Waste_Gas_10000_yuan,Treatment_of_Solid_Waste_10000_yuan,Treatment_of_Noise_Pollution_10000_yuan,Treatment_of_Other_Pollution_10000_yuan,Total_Health_Care_Institutions,General_Hospitals,Traditional_Chinese_Medicine_Hospitals,Specialized_Hospitals,Health_Care_Institutions_at_Grassroot_Level,Community_Health_Service_Centers_Stations,Township_Health_Centers,Village_Clinics...56,Outpatient_Departments,Specialized_Public_Health_Institutions,Centers_for_Disease_Control,Specialized_Disease_Prevention_Treatment_Institutions,Maternal_and_Children_Care_Centers,Health_Inspection_Institutions,COD_ton,Ammonia_Nitrogen_ton,Total_Nitrogen_ton,Total_Phosphorus_ton,Petroleum_ton,Volatile_Phenol_kg,Cyanide_kg,Heavy_Metals_kg
Heilongjiang,62,70.9,NA,NA,NA,NA,NA,32.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.53,43.38,18.27,NA,85.6,72.9,19,43.4,25.6,14,24.2,14.3,6.3,2.2,10.8,83.1,63.4,51.4,52.2,29,62.3,36.3,58.7,1011.7,851.6,342.9,160.1,3322,288.5,187.9,97.6,3.1,288.5,258.4,11.9,14.5,3.7,947.3,17167.7,74.2,21611.3,1169.5,3474.7,1177.2,558.3,1721.5,857770,43116,182895,593033,34338,4388,6250.8,240.3,75.9,46.5,32.3,85.6,10206,7445,1319,139,701,602,96649,2645,90765,777,NA,2462,22535,1278,810,199,20759,643,10206,10206,8935,403,145,17,118,52,1004969,22391,90377,9166,15,1123,138,56
Henan,NA,NA,20.2,15.2,5.54,6.54,5.97,21.46,9,4.1,4.3,NA,NA,16.4,NA,5.2,13.3,4.5,6.3,0.8,NA,54.17,12.5,11.69,37.1,NA,94.7,69.6,35.1,44.1,11.9,17,13.5,10.1,5.9,1.6,16.3,86.3,68.1,53.5,52.6,24.3,57.6,37.3,55.1,417.7,323.5,191.8,94.1,426.2,214.2,114.2,85.7,14.3,214.2,125.1,20.6,42.9,25.4,218.6,7579.6,385.5,4299.9,250.5,33.5,2470.7,415,868.5,2136370,66802,340526,856264,740508,132270,5767.4,571.1,147.5,65.5,45.2,312.9,59058,35380,4383,2316,12166,4813,223400,19170,161095,862,3,42271,86702,2472,1282,477,83517,2018,59058,59058,20449,568,185,18,165,60,1699957,46992,168786,21009,47,78,344,1200
Hong Kong,835,372,9.1,12.7,NA,NA,NA,NA,2.9,2.6,59.2,3.7,0.0905,17.200000000000003,NA,6.4,17.55,3.75,38,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hubei,NA,NA,1.97,6.05,37.86,43.25,22.8,20.47,0.27,553.6,0,2.195,0.69,0,4.47,0.055,0.255,0.015,5.05,2,467.1,4.09,0.3,25.87,6.64,NA,92.1,53.2,24.5,28.7,15.8,14.3,14.4,8.2,4.8,1.5,10.8,84.9,60.5,48,47.1,20.5,51,29.9,40.5,918.2,895.8,283.7,22.4,1573.3,340.2,329,4.2,7,340.2,190.9,70.1,52.5,26.6,582.9,4752,474.4,9292.5,98.2,47,1428.3,364.4,1949.1,3421650,454325,22410,2249615,547146,148154,3226.9,249.9,79.8,29.4,20.4,120.4,21759,16923,733,2644,387,1072,105260,25572,68982,447,114,10145,38897,1268,605,173,37036,1131,21759,21759,13038,446,121,53,102,73,1490235,48609,174567,24650,57,1035,1733,1339
Hunan,3300,1400,16.7,89.2,NA,NA,NA,NA,27.7,4.48,3.94,0.96,5.85,15.5,0.08,0.14,NA,0.35,46,2.68,0.02,NA,NA,NA,NA,0.08,91.4,44.4,22.8,21.1,11.1,22.1,12.2,6.1,5.3,1.4,10.7,80.9,56.5,45.7,45.9,25.4,44.5,28.8,40.4,2087.5,2079.7,451.4,7.8,3185.3,298.7,286.9,5.2,6.6,298.7,193.5,44.4,46.1,14.8,455.8,3666.6,906.2,12612.5,141.5,230.9,1645.2,398.5,1250.2,684706,77212,22410,520435,29349,57710,2932,211.8,58.9,13.9,26.9,112.1,35502,24550,2480,374,5225,2873,298433,5063,216775,53424,NA,23171,57611,1763,822,225,55275,1103,35502,35502,16671,458,146,62,140,67,1732340,70723,206064,28663,72,908,451,3328
Jiangsu,3150,2003.7,8.25,29.65,0.11,6.54,5.97,21.46,44270,0.30000000000000004,7.7,0.12,123.45,0.97,1.63,1.8,0.3,0.2595,5.199999999999999,0.2,1.81,0.01,12.5,11.69,37.1,0.015,91.3,54.7,38.8,23.5,28.8,20.7,25.4,10.2,3.4,0.8,11.7,82.5,63.3,51.1,50.7,23.5,56.4,33,54.6,496.3,438.7,132.1,57.6,582.1,578.7,560.5,2.1,16,578.7,244.8,251.1,67.3,15.4,678.7,4139.6,216,792.6,105.4,407.6,2059.9,392.1,2464.8,3195784,267012,6377,2178853,554552,188990,3873.8,264.2,121.6,22.3,14,106.4,14523,5472,6890,940,86,1135,276680,31110,191956,10688,304,42622,41680,2246,980,173,38446,2732,14523,14523,20300,495,115,24,125,96,1206340,50491,164691,18831,113,2450,1062,1027
Jiangxi,NA,NA,0.85,0.48,NA,NA,NA,2.83,2.02,56,6.1,1.7,5.2,0.35500000000000004,2.3,0.21,0.22,0.09,1.3,1.4,0.02,NA,1.86,3.45,21.59,0.08,91.8,41.7,21.5,22.1,13.6,17.1,12.4,6.2,3.5,1.5,14.1,82.8,58.8,43.8,46.7,27.1,44.7,28.9,42.4,2059.7,2039.7,446.5,20,4568.5,238.2,232.4,2.1,3.7,238.2,165.7,37.8,30.1,4.5,528.3,2718.3,586.2,10334.3,102.5,225.5,1133.7,372,1089.9,2040867,155292,65846,1450218,276346,159011,2201.6,106,27,13.2,14.5,51.4,25889,12351,1312,1312,9543,1371,47663,2977,40311,1244,315,2816,39392,1098,621,149,37681,703,25889,25889,9485,439,149,73,116,23,1044465,48684,133302,17393,101,8503,850,4140
Jilin,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6.8,6.3,10.1,2.2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.9,74.8,19.2,37,29.9,14.7,30.4,15.1,9.8,2,9.4,85.8,68,53.4,55.7,31.7,70.6,38.9,66.3,676.8,589.5,216.6,87.3,2907.2,107,70.6,30.5,5.8,107,76.6,7.9,13,9.4,459.6,7452.6,88.8,8804.8,619.7,221.4,864.3,277.2,631.6,456757,46228,163116,197457,49555,401,2097,226.3,36.1,4.6,11,174.5,8701,3808,1706,1450,1357,380,47042,8486,32393,10,NA,6153,26540,873,409,171,25306,337,8701,8701,15514,250,70,54,70,21,899449,15345,64328,7346,29,449,269,341
Liaoning,3150,2003.7,0.6,12.3,NA,32.352941176470594,32.87647058823529,1520.6,7.6,10.5,1.4,11.45,1,1.4,47.38,0.26,0.5,12.6,0.6,0.9,0.09,0.18823529411764703,159.07647058823528,23.22941176470588,124.80000000000004,NA,86.9,73,14.9,35.7,26.1,11.7,25.4,9.2,8,1.6,11.5,84.4,68.6,57.7,56.9,30.2,69.2,38.5,64.8,534.6,482.6,151.1,52,1282.5,123.3,73.7,41.7,7.8,123.3,71.9,14.8,26.4,10.3,296.8,5162.2,525.9,5985.5,475.1,294,1347.3,317,701.2,792526,278219,120929,359050,15159,19169,1739.8,129.1,38.9,7.6,9.9,72.7,16455,7877,410,154,6915,1099,178226,13466,143280,2426,98,18957,37137,1646,837,252,34973,1508,16455,16455,15996,363,126,35,103,13,1372012,33058,111329,15537,116,7655,757,777
Qinghai,3150,2003.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,93.8,61.8,30.5,39.6,6.8,20.7,7.6,6.7,5,0.9,7.4,85.1,60,32.2,49.8,18.4,51.7,37.1,51.6,958.6,932.4,412.9,26.2,16151.6,26.1,20.2,4.6,1.3,26.1,17.7,3.2,3.2,2,439.8,570,59.2,4604,39432.9,5100,384.2,154.3,2455.3,161140,36229,59072,57248,7941,650,229.1,4.5,1.7,0.5,0.1,2.1,4489,2571,656,479,317,466,128587,10375,57637,26146,62,34367,6914,252,134,16,6536,280,4489,4489,3952,124,54,2,52,1,281929,4158,14989,1456,3,298,80,52
Shaanxi,NA,NA,128,456,NA,NA,NA,NA,1.2,1.2,62.5,50.9,3.5,111,14.7,413,0.18,5,3.38,27.9,NA,NA,NA,NA,NA,NA,93.9,65.1,35.6,35.2,12.9,14.5,12.9,8,5.8,1.2,12.8,85,68,53.4,51.1,17.3,56.4,34.3,53,389.3,353.8,144.4,35.5,984.9,100,61.6,30.1,8.4,100,56,14.9,21.2,7.9,253,3040.6,1105.4,12436.5,2188.8,45.9,941.7,321.6,283.1,1951759,219246,344591,1002632,243579,141711,1186.6,193.7,71.8,15.8,19.1,87,20995,19444,115,203,1221,12,67346,26397,9166,382,NA,31401,35426,1288,737,181,33662,769,20995,20995,10372,355,121,4,118,74,400614,20984,49220,4706,28,1198,321,1127
Shandong,3150,2003.7,7.43,1478,1.65,1.467,6.8,71.24,13.61,895,5.75,0.246,0.26,0.84,6.58,0.08,2.55,0.44,0.6,5,0.03,0.6,0.503,29.3,107.15,0,92.9,67.6,25,30.1,14.3,11.4,13.9,7.8,4.5,0.8,15.1,83.1,62,48.1,48.2,26.8,55,36,52.7,461.7,355.8,194,105.9,457.1,231.6,142.8,68.2,20.5,231.6,132.9,34.3,45,19.4,229.3,6539.3,1199.4,2443.7,243.7,245.5,2863.1,489.1,1346.1,4140387,103408,832734,2418338,665930,119977,5271.4,349.6,92.1,28.9,26.4,202.2,50598,29392,10677,3743,3383,3403,326398,75745,238477,1535,34,10607,90070,2930,1491,436,86289,2529,50598,50598,31658,497,185,69,159,35,1542184,55320,155534,16048,108,2390,881,3124
Shanghai,3150,2003.7,0.019,13.35,0.01,3.98,27.7,1.5,13.52,5.94,1.3,0.6,3.56,0.6,0.1,0.2,2.1,0.1,36,0.2,1.81,0.03,13.9,2.07,18.9,0.5,87.8,48.9,42.7,25.7,33.2,28.7,29.7,13.4,3.8,0.8,13.9,80.5,63.1,51.1,50.7,29.8,58.1,31,55.3,53.4,45.6,10.7,7.7,215,107.3,105.9,0,1.4,107.3,14.3,68.1,23.8,1,432.1,160.9,14.1,88.5,17.8,70.7,285.3,37,185.3,1202295,59134,6377,479616,527772,135773,160.9,6.4,2.3,0.3,0.1,3.6,1101,783,NA,NA,NA,318,315780,40478,235818,166,33,39286,6421,492,184,28,5692,1208,1101,1101,3383,88,19,14,16,5,130709,9887,29218,1617,20,324,248,389
Shanxi,3150,2003.7,NA,NA,0.01,0.17,1.22,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0.27,0.83,NA,93,58.6,16.2,30.8,10.1,9.9,9.7,8.6,5.4,0.9,19.5,85.9,67,48.9,45.9,22.8,56,38.4,54,115,73.5,94.1,41.5,332.8,70,36.3,26.9,6.8,70,36.5,11.3,15.7,6.6,202.5,3893.5,622.9,6099,3046.6,49.1,1029.6,297.3,177.9,987543,63867,404368,433207,47453,38648,1530.9,103.8,17,7.5,6.8,72.5,21703,15409,818,566,1936,2974,73552,3632,9378,6101,189,54251,38415,1373,618,222,36645,1114,21703,21703,12378,339,132,7,129,25,793400,23752,66154,9288,24,2713,2215,837
Sichuan,NA,NA,NA,NA,0.11,6.54,5.97,21.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,12.5,11.69,37.1,NA,93.4,56,29.3,31.5,13.9,19,13.9,8.6,4.4,1,14.4,84.2,60.9,50.2,50.3,24.9,48,31.6,46.1,2434.4,2433.1,605.9,1.2,2909.9,255.2,241.6,5.3,8.4,255.2,163,20.7,61.3,10.2,305,5252.6,1185.4,25387.1,9607.1,1228.4,1872.1,567,1080.5,6209515,823091,33945,3127361,1140626,1084492,3025.7,200.3,73.1,30.5,13.8,82.9,40229,23118,3153,1328,7996,4634,430025,72276,345353,13,NA,12382,74797,2421,1341,284,71467,1101,40229,40229,27380,672,212,20,202,150,1473764,67372,193442,21037,81,784,91,836
