sample_type,province,location,season,lon,lat,antibiotic,median_concentration,concentration_unit,sample_year,reference_number
aquaculture wastewater,Jiangsu,"Freshwater finfish ponds, Nanjing and Yixing (lower Yangtze river basin)",NA,NA,NA,Sulfamethoxazole,53.82,ng/L,2021,N80
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,Ciprofloxacin,1.37,ng/L,2022,N81
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,Difloxacin,34.81,ng/L,2022,N81
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,Enrofloxacin,159.4,ng/L,2022,N81
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,Norfloxacin,44.65,ng/L,2022,N81
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Azithromycin,4.07,ng/L,2020,N55
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Enoxacin,10.95,ng/L,2020,N55
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Roxithromycin,13.48,ng/L,2020,N55
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Sulfamethoxazole,9.18,ng/L,2020,N55
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Tetracycline,9.11,ng/L,2020,N55
hospital wastewater,Heilongjiang,Harbin,NA,NA,NA,Azithromycin,92,ng/L,2019,N53
hospital wastewater,Heilongjiang,Harbin,NA,NA,NA,Cefadroxil,15.2,ng/L,2019,N53
hospital wastewater,Heilongjiang,Harbin,NA,NA,NA,Ofloxacin,6.86,ng/L,2019,N53
hospital wastewater,Heilongjiang,Harbin,NA,NA,NA,Roxithromycin,19.6,ng/L,2019,N53
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Enrofloxacin,40.7,ng/g dw,2021,N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Erythromycin,1447.4,ng/g dw,2021,N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Oxytetracycline,62.6,ng/g dw,2021,N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Sulfamethoxazole,443.7,ng/g dw,2021,N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Tetracycline,2.1,ng/g dw,2021,N78
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Azithromycin,368,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Enrofloxacin,921,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Ofloxacin,88.8,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Roxithromycin,104,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Sulfadiazine,128,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Sulfadimidine,14.3,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Sulfamethoxazole,5.09,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Tylosin,77.8,ng/L,2019,N53
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Ciprofloxacin,80.87,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Doxycycline,459.67,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Enrofloxacin,331.67,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Norfloxacin,40.98,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Ofloxacin,84.09,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Oxytetracycline,459.57,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Roxithromycin,32.88,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Sulfadiazine,42.34,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Sulfamethoxazole,33.65,ng/L,2021,N55
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Azithromycin,749,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Chlortetracycline,8.5,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Ciprofloxacin,83.3,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Clarithromycin,5.3,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Doxycycline,13.6,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Enrofloxacin,6.6,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Erythromycin-H2O,6.2,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Lomefloxacin,75.3,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Norfloxacin,2003.7,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Ofloxacin,3150,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Oxytetracycline,387.8,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Roxithromycin,13.4,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Sulfadiazine,3.4,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Sulfadimethoxine,4.9,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Sulfadimidine,0.8,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Sulfamerazine,15.3,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Sulfamethoxazole,4.2,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Sulfathiazole,7.1,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Tetracycline,57.4,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Trimethoprim,18,ng/g,2015,121
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Chloramphenicol,0.6,ng/g,2010,21
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Chlortetracycline,15.53,ng/g,NA,218
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Ciprofloxacin,345.46500000000003,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Dehydroerythromycin,3.3,ng/g,NA,218
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Difloxacin,0.7,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Enrofloxacin,21,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Erythromycin A dihydrate,39,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Fleroxacin,130,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Lomefloxacin,830,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Nalidixic Acid,1.55,ng/g,NA,21
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Norfloxacin,2583.855,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Ofloxacin,8514.535,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Oxytetracycline,751.71,ng/g,NA,218
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Roxithromycin,19,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Sarafloxacin,0.7,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Spiramycin,7.8,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Sulfadiazine,15.870000000000001,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Sulfadimethoxine,1.02,ng/g,NA,218
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Sulfadimidine,1.7149999999999999,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Sulfamerazine,7.7,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Sulfamethizole,0.06,ng/g,NA,218
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Sulfamethoxazole,10.870000000000001,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Sulfapyridine,38,ng/g,2008,160
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Sulfathiazole,0.97,ng/g,NA,218
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Tetracycline,277.93,ng/g,NA,218
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Trimethoprim,195.97,ng/g,NA,218
municipal sludge,Beijing,Beijing,NA,116.407526,39.90403,Tylosin,0.2,ng/g,2008,160
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Ciprofloxacin,817.5,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Enrofloxacin,68.75,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Fleroxacin,70,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Gatifloxacin,352.5,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Lomefloxacin,790,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Moxifloxacin,441.25,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Norfloxacin,5426.25,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Ofloxacin,5548.75,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Pipemidic Acid,222.5,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Sarafloxacin,326.25,ng/g,2008,181
municipal sludge,Beijing,Beijing Haidian district Qinghe sewage treatment plant,7,116.361654,40.041745,Sparfloxacin,27.5,ng/g,2008,181
municipal sludge,Chongqing,Chongqing,11,106.551556,29.563009,Azithromycin,466.76,ng/g,2012,201
municipal sludge,Chongqing,Chongqing,11,106.551556,29.563009,Erythromycin,8.64,ng/g,2012,201
municipal sludge,Chongqing,Chongqing,11,106.551556,29.563009,Moxifloxacin,16.05,ng/g,2012,201
municipal sludge,Chongqing,Chongqing,11,106.551556,29.563009,Norfloxacin,107.84,ng/g,2012,201
municipal sludge,Chongqing,Chongqing,11,106.551556,29.563009,Ofloxacin,154.47,ng/g,2012,201
municipal sludge,Chongqing,Chongqing,11,106.551556,29.563009,Roxithromycin,43.78,ng/g,2012,201
municipal sludge,Chongqing,Chongqing,11,106.551556,29.563009,Sulfadiazine,3.57,ng/g,2012,201
municipal sludge,Chongqing,Chongqing,11,106.551556,29.563009,Sulfadimidine,5.215,ng/g,2012,201
municipal sludge,Chongqing,Chongqing,11,106.551556,29.563009,Trimethoprim,8.32,ng/g,2012,201
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Azithromycin,749,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Chlortetracycline,8.5,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Ciprofloxacin,83.3,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Clarithromycin,5.3,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Doxycycline,13.6,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Enrofloxacin,6.6,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Erythromycin-H2O,6.2,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Lomefloxacin,75.3,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Norfloxacin,2003.7,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Ofloxacin,3150,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Oxytetracycline,387.8,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Roxithromycin,13.4,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Sulfadiazine,3.4,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Sulfadimethoxine,4.9,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Sulfadimidine,0.8,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Sulfamerazine,15.3,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Sulfamethoxazole,4.2,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Sulfathiazole,7.1,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Tetracycline,57.4,ng/g,2015,121
municipal sludge,Chongqing,Chongqing,4,106.551556,29.563009,Trimethoprim,18,ng/g,2015,121
municipal sludge,Chongqing,Chongqing Jiangbei district,11,106.634812,29.597062,Azithromycin,224.21,ng/g,2012,216
municipal sludge,Chongqing,Chongqing Jiangbei district,11,106.634812,29.597062,Erythromycin-H2O,12.91,ng/g,2012,216
municipal sludge,Chongqing,Chongqing Jiangbei district,11,106.634812,29.597062,Moxifloxacin,46.69,ng/g,2012,216
municipal sludge,Chongqing,Chongqing Jiangbei district,11,106.634812,29.597062,Norfloxacin,442.88,ng/g,2012,216
municipal sludge,Chongqing,Chongqing Jiangbei district,11,106.634812,29.597062,Ofloxacin,413.56,ng/g,2012,216
municipal sludge,Chongqing,Chongqing Jiangbei district,11,106.634812,29.597062,Roxithromycin,95.27,ng/g,2012,216
municipal sludge,Chongqing,Chongqing Jiangbei district,11,106.634812,29.597062,Sulfadiazine,14.58,ng/g,2012,216
municipal sludge,Chongqing,Chongqing Jiangbei district,11,106.634812,29.597062,Sulfadimidine,9.225,ng/g,2012,216
municipal sludge,Chongqing,Chongqing Jiangbei district,11,106.634812,29.597062,Trimethoprim,13.29,ng/g,2012,216
municipal sludge,Chongqing,Chongqing Nanan district,11,106.618099,29.594044,Azithromycin,466.76,ng/g,2012,215
municipal sludge,Chongqing,Chongqing Nanan district,11,106.618099,29.594044,Erythromycin-H2O,8.64,ng/g,2012,215
municipal sludge,Chongqing,Chongqing Nanan district,11,106.618099,29.594044,Moxifloxacin,16.05,ng/g,2012,215
municipal sludge,Chongqing,Chongqing Nanan district,11,106.618099,29.594044,Norfloxacin,107.84,ng/g,2012,215
municipal sludge,Chongqing,Chongqing Nanan district,11,106.618099,29.594044,Ofloxacin,154.47,ng/g,2012,215
municipal sludge,Chongqing,Chongqing Nanan district,11,106.618099,29.594044,Roxithromycin,43.78,ng/g,2012,215
municipal sludge,Chongqing,Chongqing Nanan district,11,106.618099,29.594044,Sulfadiazine,3.57,ng/g,2012,215
municipal sludge,Chongqing,Chongqing Nanan district,11,106.618099,29.594044,Sulfadimidine,5.215,ng/g,2012,215
municipal sludge,Chongqing,Chongqing Nanan district,11,106.618099,29.594044,Trimethoprim,8.32,ng/g,2012,215
municipal sludge,Fujian,Fujian Xiamen,3,118.15,24.658333,Chlortetracycline,1260,ng/g,2016,118
municipal sludge,Fujian,Fujian Xiamen,3,118.15,24.658333,Ciprofloxacin,313,ng/g,2016,118
municipal sludge,Fujian,Fujian Xiamen,3,118.15,24.658333,Danofloxacin,3.45,ng/g,2016,118
municipal sludge,Fujian,Fujian Xiamen,3,118.15,24.658333,Enrofloxacin,23.6,ng/g,2016,118
municipal sludge,Fujian,Fujian Xiamen,3,118.15,24.658333,Ofloxacin,4870,ng/g,2016,118
municipal sludge,Fujian,Fujian Xiamen,3,118.15,24.658333,Sulfadiazine,0.687,ng/g,2016,118
municipal sludge,Fujian,Fujian Xiamen,3,118.15,24.658333,Sulfadimidine,0.671,ng/g,2016,118
municipal sludge,Fujian,Fujian Xiamen,3,118.15,24.658333,Sulfamethoxazole,2.85,ng/g,2016,118
municipal sludge,Fujian,Fujian Xiamen,3,118.15,24.658333,Tetracycline,1030,ng/g,2016,118
municipal sludge,Fujian,Fujian Xiamen,8,118.089425,24.479833,Sulfadimidine,3.3,ng/g,2017,39
municipal sludge,Fujian,Fujian Xiamen,NA,118.089425,24.479833,Sulfadiazine,2.955,ng/g,NA,39
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Chloramphenicol,480,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Ciprofloxacin,22.5,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Enrofloxacin,27.5,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Norfloxacin,15,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Ofloxacin,162.5,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Sulfadiazine,5,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Sulfadimethoxine,100,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Sulfadimidine,302.5,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Sulfamerazine,937.5,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Sulfamethoxazole,357.5,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Sulfamonomethoxine,255,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Sulfapyridine,175.00000000000003,ng/g,2014,135
municipal sludge,Gansu,Gansu Lanzhou,12,103.834303,36.061089,Trimethoprim,932.5,ng/g,2014,135
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Chloramphenicol,66,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Ciprofloxacin,69,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Enoxacin,60,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Enrofloxacin,72,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Erythromycin-H2O,69,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Levofloxacin,79,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Lomefloxacin,81,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Nadifloxacin,73,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Norfloxacin,68,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Roxithromycin,89,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfacetamide,89,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfachinoxaline,63,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfachloropyridazine,86,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfadiazine,92,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfadimidine,83,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfafurazole,70,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfamerazine,67,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfamethoxazole,86,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfanilamide,73,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfapyridine,96,ng/g,2013,138
municipal sludge,Guangdong,Guangdong,4,113.26653,23.132191,Sulfathiazole,75,ng/g,2013,138
municipal sludge,Guangdong,Guangdong Guangzhou,4,113.264434,23.129162,Ciprofloxacin,1052,ng/g,2008,187
municipal sludge,Guangdong,Guangdong Guangzhou,4,113.264434,23.129162,Norfloxacin,2002,ng/g,2008,187
municipal sludge,Guangdong,Guangdong Guangzhou,4,113.264434,23.129162,Ofloxacin,3724,ng/g,2008,187
municipal sludge,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Ciprofloxacin,5753,ng/g,2008,16
municipal sludge,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Norfloxacin,7325.5,ng/g,2008,16
municipal sludge,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Ofloxacin,9550.5,ng/g,2008,16
municipal sludge,Guangdong,Guangdong Guangzhou Huangpu district Kaifaqu,10,113.53743,23.111351,Erythromycin-H2O,76,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Guangzhou Huangpu district Kaifaqu,10,113.53743,23.111351,Norfloxacin,301,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Guangzhou Huangpu district Kaifaqu,10,113.53743,23.111351,Ofloxacin,227,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Guangzhou Huangpu district Kaifaqu,10,113.53743,23.111351,Roxithromycin,40,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Guangzhou Tianhe district Liede,10,113.336127,23.113409,Erythromycin-H2O,195,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Guangzhou Tianhe district Liede,10,113.336127,23.113409,Norfloxacin,40,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Guangzhou Tianhe district Liede,10,113.336127,23.113409,Ofloxacin,886,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Guangzhou Tianhe district Liede,10,113.336127,23.113409,Roxithromycin,64,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Guangzhou Tianhe district Liede,10,113.336127,23.113409,Sulfadimidine,31,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Guangzhou Tianhe district Liede,10,113.336127,23.113409,Sulfamethoxazole,20,ng/g,2005,1
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Chlortetracycline,335,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Ciprofloxacin,715,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Clarithromycin,29,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Doxycycline,232,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Enrofloxacin,21.4,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Erythromycin-H2O,61.2,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Fleroxacin,43.5,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Lomefloxacin,89.3,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Methacycline,21.1,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Norfloxacin,5610,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Ofloxacin,5800,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Oxytetracycline,1680,ng/g,2010,190
