sample_type,matrix,province,sample_year,antibiotic,antibiotic_class,mean_concentration,max_concentration,concentration_unit,reference_number
hospital wastewater,wastewater effluent,Heilongjiang,2019,Cefadroxil,Beta-lactams,15.2,18.3,ng/L,N53
hospital wastewater,wastewater effluent,Heilongjiang,2019,Ofloxacin,Fluoroquinolones,6.86,8.63,ng/L,N53
hospital wastewater,wastewater effluent,Heilongjiang,2019,Roxithromycin,Macrolides,19.6,32.7,ng/L,N53
lake sediment,sediment,Hubei,2021,Enrofloxacin,Fluoroquinolones,40.7,NA,ng/g dw,N78
lake sediment,sediment,Hubei,2021,Erythromycin,Macrolides,1447.4,NA,ng/g dw,N78
lake sediment,sediment,Hubei,2021,Oxytetracycline,Tetracyclines,62.6,NA,ng/g dw,N78
lake sediment,sediment,Hubei,2021,Sulfamethoxazole,Sulfonamides,443.7,NA,ng/g dw,N78
lake sediment,sediment,Hubei,2021,Tetracycline,Tetracyclines,2.1,NA,ng/g dw,N78
livestock wastewater,wastewater effluent,Heilongjiang,2019,Azithromycin,Macrolides,368,32800,ng/L,N53
livestock wastewater,wastewater effluent,Heilongjiang,2019,Enrofloxacin,Fluoroquinolones,921,3870,ng/L,N53
livestock wastewater,wastewater effluent,Heilongjiang,2019,Ofloxacin,Fluoroquinolones,88.8,159,ng/L,N53
livestock wastewater,wastewater effluent,Heilongjiang,2019,Roxithromycin,Macrolides,104,261,ng/L,N53
livestock wastewater,wastewater effluent,Heilongjiang,2019,Sulfadiazine,Sulfonamides,128,1350,ng/L,N53
livestock wastewater,wastewater effluent,Heilongjiang,2019,Sulfadimidine,Sulfonamides,14.3,24.6,ng/L,N53
livestock wastewater,wastewater effluent,Heilongjiang,2019,Sulfamethoxazole,Sulfonamides,5.09,18,ng/L,N53
livestock wastewater,wastewater effluent,Heilongjiang,2019,Tylosin,Macrolides,77.8,4590,ng/L,N53
livestock wastewater,wastewater effluent,Jiangxi,2021,Ciprofloxacin,Fluoroquinolones,80.87,316.76,ng/L,N55
livestock wastewater,wastewater effluent,Jiangxi,2021,Doxycycline,Tetracyclines,459.67,1838.68,ng/L,N55
livestock wastewater,wastewater effluent,Jiangxi,2021,Enrofloxacin,Fluoroquinolones,331.67,1318.86,ng/L,N55
livestock wastewater,wastewater effluent,Jiangxi,2021,Norfloxacin,Fluoroquinolones,40.98,156.44,ng/L,N55
livestock wastewater,wastewater effluent,Jiangxi,2021,Ofloxacin,Fluoroquinolones,84.09,250.41,ng/L,N55
livestock wastewater,wastewater effluent,Jiangxi,2021,Oxytetracycline,Tetracyclines,459.57,1826.29,ng/L,N55
livestock wastewater,wastewater effluent,Jiangxi,2021,Roxithromycin,Macrolides,32.88,53.58,ng/L,N55
livestock wastewater,wastewater effluent,Jiangxi,2021,Sulfadiazine,Sulfonamides,42.34,169.2,ng/L,N55
livestock wastewater,wastewater effluent,Jiangxi,2021,Sulfamethoxazole,Sulfonamides,33.65,62.24,ng/L,N55
livestock wastewater,wastewater effluent,Yunnan,2020,Penicillin G,Beta-lactams,NA,3145180000,ng/L,CAND_YUNNAN_ERHAI_2020
municipal sludge,sludge,Beijing,2008,Ciprofloxacin,Fluoroquinolones,460,950,ng/g,160
municipal sludge,sludge,Beijing,2008,Ciprofloxacin,Fluoroquinolones,817.5,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Difloxacin,Fluoroquinolones,0.7,11,ng/g,160
municipal sludge,sludge,Beijing,2008,Enrofloxacin,Fluoroquinolones,21,95,ng/g,160
municipal sludge,sludge,Beijing,2008,Enrofloxacin,Fluoroquinolones,68.75,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Erythromycin A dihydrate,Macrolides,39,710,ng/g,160
municipal sludge,sludge,Beijing,2008,Fleroxacin,Fluoroquinolones,70,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Fleroxacin,Fluoroquinolones,130,320,ng/g,160
municipal sludge,sludge,Beijing,2008,Gatifloxacin,Fluoroquinolones,352.5,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Josamycin,Macrolides,NA,0.3,ng/g,160
municipal sludge,sludge,Beijing,2008,Lomefloxacin,Fluoroquinolones,790,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Lomefloxacin,Fluoroquinolones,830,3000,ng/g,160
municipal sludge,sludge,Beijing,2008,Moxifloxacin,Fluoroquinolones,441.25,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Norfloxacin,Fluoroquinolones,3200,4900,ng/g,160
municipal sludge,sludge,Beijing,2008,Norfloxacin,Fluoroquinolones,5426.25,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Ofloxacin,Fluoroquinolones,5548.75,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Ofloxacin,Fluoroquinolones,11000,21000,ng/g,160
municipal sludge,sludge,Beijing,2008,Pipemidic Acid,Quinolones,222.5,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Roxithromycin,Macrolides,19,170,ng/g,160
municipal sludge,sludge,Beijing,2008,Sarafloxacin,Fluoroquinolones,0.7,24,ng/g,160
municipal sludge,sludge,Beijing,2008,Sarafloxacin,Fluoroquinolones,326.25,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Sparfloxacin,Fluoroquinolones,27.5,NA,ng/g,181
municipal sludge,sludge,Beijing,2008,Spiramycin,Macrolides,7.8,32,ng/g,160
municipal sludge,sludge,Beijing,2008,Sulfadiazine,Sulfonamides,28,70,ng/g,160
municipal sludge,sludge,Beijing,2008,Sulfadimidine,Sulfonamides,3,61,ng/g,160
municipal sludge,sludge,Beijing,2008,Sulfamerazine,Sulfonamides,0.1,3.7,ng/g,160
municipal sludge,sludge,Beijing,2008,Sulfamethoxazole,Sulfonamides,11,45,ng/g,160
municipal sludge,sludge,Beijing,2008,Sulfapyridine,Sulfonamides,38,68,ng/g,160
municipal sludge,sludge,Beijing,2008,Tylosin,Macrolides,0.2,6.1,ng/g,160
municipal sludge,sludge,Beijing,2010,Chloramphenicol,Phenicols,0.6,NA,ng/g,21
municipal sludge,sludge,Beijing,2015,Azithromycin,Macrolides,749,6027.2,ng/g,121
municipal sludge,sludge,Beijing,2015,Chlortetracycline,Tetracyclines,8.5,276.6,ng/g,121
municipal sludge,sludge,Beijing,2015,Ciprofloxacin,Fluoroquinolones,83.29999999999998,1376.9,ng/g,121
municipal sludge,sludge,Beijing,2015,Clarithromycin,Macrolides,5.3,49.5,ng/g,121
municipal sludge,sludge,Beijing,2015,Doxycycline,Tetracyclines,13.6,112.6,ng/g,121
municipal sludge,sludge,Beijing,2015,Enrofloxacin,Fluoroquinolones,6.6,69.5,ng/g,121
municipal sludge,sludge,Beijing,2015,Erythromycin-H2O,Macrolides,6.2,43.4,ng/g,121
municipal sludge,sludge,Beijing,2015,Lomefloxacin,Fluoroquinolones,75.29999999999998,316.1,ng/g,121
municipal sludge,sludge,Beijing,2015,Norfloxacin,Fluoroquinolones,2003.7,3677.2,ng/g,121
municipal sludge,sludge,Beijing,2015,Ofloxacin,Fluoroquinolones,2982.61,11138.52,ng/g dw,N19
municipal sludge,sludge,Beijing,2015,Ofloxacin,Fluoroquinolones,3150,8800.5,ng/g,121
municipal sludge,sludge,Beijing,2015,Oxytetracycline,Tetracyclines,387.8,5115.9,ng/g,121
municipal sludge,sludge,Beijing,2015,Roxithromycin,Macrolides,13.4,110,ng/g,121
municipal sludge,sludge,Beijing,2015,Sulfadiazine,Sulfonamides,3.4,12,ng/g,121
municipal sludge,sludge,Beijing,2015,Sulfadimethoxine,Sulfonamides,4.9,12.9,ng/g,121
municipal sludge,sludge,Beijing,2015,Sulfadimidine,Sulfonamides,0.8,122.7,ng/g,121
municipal sludge,sludge,Beijing,2015,Sulfamerazine,Sulfonamides,15.3,68.8,ng/g,121
municipal sludge,sludge,Beijing,2015,Sulfamethoxazole,Sulfonamides,4.2,16.4,ng/g,121
municipal sludge,sludge,Beijing,2015,Sulfathiazole,Sulfonamides,7.1,12.8,ng/g,121
municipal sludge,sludge,Beijing,2015,Tetracycline,Tetracyclines,57.4,1038.4,ng/g,121
municipal sludge,sludge,Beijing,2015,Trimethoprim,Diaminopyrimidines,18,31.5,ng/g,121
municipal sludge,sludge,Beijing,NA,Chlortetracycline,Tetracyclines,15.53,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Ciprofloxacin,Fluoroquinolones,230.93,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Dehydroerythromycin,Macrolides,3.3,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Nalidixic Acid,Quinolones,1.55,NA,ng/g,21
municipal sludge,sludge,Beijing,NA,Norfloxacin,Fluoroquinolones,1967.71,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Ofloxacin,Fluoroquinolones,6029.07,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Oxytetracycline,Tetracyclines,751.71,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Sulfadiazine,Sulfonamides,3.74,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Sulfadimethoxine,Sulfonamides,1.02,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Sulfadimidine,Sulfonamides,0.43,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Sulfamerazine,Sulfonamides,15.3,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Sulfamethizole,Sulfonamides,0.06,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Sulfamethoxazole,Sulfonamides,10.74,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Sulfathiazole,Sulfonamides,0.97,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Tetracycline,Tetracyclines,277.93,NA,ng/g,218
municipal sludge,sludge,Beijing,NA,Trimethoprim,Diaminopyrimidines,195.97,NA,ng/g,218
municipal sludge,sludge,Chongqing,2012,Azithromycin,Macrolides,224.21,NA,ng/g,216
municipal sludge,sludge,Chongqing,2012,Azithromycin,Macrolides,466.76,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Erythromycin,Macrolides,8.64,NA,ng/g,201
municipal sludge,sludge,Chongqing,2012,Erythromycin-H2O,Macrolides,8.64,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Erythromycin-H2O,Macrolides,12.91,NA,ng/g,216
municipal sludge,sludge,Chongqing,2012,Moxifloxacin,Fluoroquinolones,16.05,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Moxifloxacin,Fluoroquinolones,46.69,NA,ng/g,216
municipal sludge,sludge,Chongqing,2012,Norfloxacin,Fluoroquinolones,107.84,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Norfloxacin,Fluoroquinolones,442.88,NA,ng/g,216
municipal sludge,sludge,Chongqing,2012,Ofloxacin,Fluoroquinolones,154.47,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Ofloxacin,Fluoroquinolones,413.56,NA,ng/g,216
municipal sludge,sludge,Chongqing,2012,Roxithromycin,Macrolides,43.78,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Roxithromycin,Macrolides,95.27,NA,ng/g,216
municipal sludge,sludge,Chongqing,2012,Sulfadiazine,Sulfonamides,3.57,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Sulfadiazine,Sulfonamides,14.58,NA,ng/g,216
municipal sludge,sludge,Chongqing,2012,Sulfadimidine,Sulfonamides,0.92,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Sulfadimidine,Sulfonamides,1.62,NA,ng/g,216
municipal sludge,sludge,Chongqing,2012,Sulfadimidine,Sulfonamides,9.51,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Sulfadimidine,Sulfonamides,16.83,NA,ng/g,216
municipal sludge,sludge,Chongqing,2012,Trimethoprim,Diaminopyrimidines,8.32,NA,ng/g,215
municipal sludge,sludge,Chongqing,2012,Trimethoprim,Diaminopyrimidines,13.29,NA,ng/g,216
municipal sludge,sludge,Chongqing,2015,Azithromycin,Macrolides,749,6027.2,ng/g,121
municipal sludge,sludge,Chongqing,2015,Chlortetracycline,Tetracyclines,8.5,276.6,ng/g,121
municipal sludge,sludge,Chongqing,2015,Ciprofloxacin,Fluoroquinolones,83.29999999999998,1376.9,ng/g,121
municipal sludge,sludge,Chongqing,2015,Clarithromycin,Macrolides,5.3,49.5,ng/g,121
municipal sludge,sludge,Chongqing,2015,Doxycycline,Tetracyclines,13.6,112.6,ng/g,121
municipal sludge,sludge,Chongqing,2015,Enrofloxacin,Fluoroquinolones,6.6,69.5,ng/g,121
municipal sludge,sludge,Chongqing,2015,Erythromycin-H2O,Macrolides,6.2,43.4,ng/g,121
municipal sludge,sludge,Chongqing,2015,Lomefloxacin,Fluoroquinolones,75.29999999999998,316.1,ng/g,121
municipal sludge,sludge,Chongqing,2015,Norfloxacin,Fluoroquinolones,2003.7,3677.2,ng/g,121
municipal sludge,sludge,Chongqing,2015,Ofloxacin,Fluoroquinolones,3150,8800.5,ng/g,121
municipal sludge,sludge,Chongqing,2015,Oxytetracycline,Tetracyclines,387.8,5115.9,ng/g,121
municipal sludge,sludge,Chongqing,2015,Roxithromycin,Macrolides,13.4,110,ng/g,121
municipal sludge,sludge,Chongqing,2015,Sulfadiazine,Sulfonamides,3.4,12,ng/g,121
municipal sludge,sludge,Chongqing,2015,Sulfadimethoxine,Sulfonamides,4.9,12.9,ng/g,121
municipal sludge,sludge,Chongqing,2015,Sulfadimidine,Sulfonamides,0.8,122.7,ng/g,121
municipal sludge,sludge,Chongqing,2015,Sulfamerazine,Sulfonamides,15.3,68.8,ng/g,121
municipal sludge,sludge,Chongqing,2015,Sulfamethoxazole,Sulfonamides,4.2,16.4,ng/g,121
municipal sludge,sludge,Chongqing,2015,Sulfathiazole,Sulfonamides,7.1,12.8,ng/g,121
municipal sludge,sludge,Chongqing,2015,Tetracycline,Tetracyclines,57.4,1038.4,ng/g,121
municipal sludge,sludge,Chongqing,2015,Trimethoprim,Diaminopyrimidines,18,31.5,ng/g,121
municipal sludge,sludge,Fujian,2016,Chlortetracycline,Tetracyclines,1260,2150,ng/g,118
municipal sludge,sludge,Fujian,2016,Ciprofloxacin,Fluoroquinolones,313,422,ng/g,118
municipal sludge,sludge,Fujian,2016,Danofloxacin,Fluoroquinolones,3.45,24.4,ng/g,118
municipal sludge,sludge,Fujian,2016,Enrofloxacin,Fluoroquinolones,23.6,35.5,ng/g,118
municipal sludge,sludge,Fujian,2016,Ofloxacin,Fluoroquinolones,4870,6780,ng/g,118
municipal sludge,sludge,Fujian,2016,Sulfadiazine,Sulfonamides,0.687,5.09,ng/g,118
municipal sludge,sludge,Fujian,2016,Sulfadimidine,Sulfonamides,0.671,9.4,ng/g,118
municipal sludge,sludge,Fujian,2016,Sulfamethoxazole,Sulfonamides,2.85,7.33,ng/g,118
municipal sludge,sludge,Fujian,2016,Tetracycline,Tetracyclines,1030,1630,ng/g,118
municipal sludge,sludge,Fujian,2017,Sulfadimidine,Sulfonamides,3.3,NA,ng/g,39
municipal sludge,sludge,Fujian,NA,Sulfadiazine,Sulfonamides,2.955,NA,ng/g,39
municipal sludge,sludge,Gansu,2014,Chloramphenicol,Phenicols,480,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Ciprofloxacin,Fluoroquinolones,22.5,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Enrofloxacin,Fluoroquinolones,27.5,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Norfloxacin,Fluoroquinolones,15,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Ofloxacin,Fluoroquinolones,162.5,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Sulfadiazine,Sulfonamides,5,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Sulfadimethoxine,Sulfonamides,100,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Sulfadimidine,Sulfonamides,302.5,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Sulfamerazine,Sulfonamides,937.5,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Sulfamethoxazole,Sulfonamides,357.5,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Sulfamonomethoxine,Sulfonamides,255,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Sulfapyridine,Sulfonamides,175.00000000000003,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Sulfathiazole,Sulfonamides,0,NA,ng/g,135
municipal sludge,sludge,Gansu,2014,Trimethoprim,Diaminopyrimidines,932.5,NA,ng/g,135
municipal sludge,sludge,Guangdong,2005,Erythromycin-H2O,Macrolides,76,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2005,Erythromycin-H2O,Macrolides,195,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2005,Norfloxacin,Fluoroquinolones,40,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2005,Norfloxacin,Fluoroquinolones,301,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2005,Ofloxacin,Fluoroquinolones,227,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2005,Ofloxacin,Fluoroquinolones,886,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2005,Roxithromycin,Macrolides,40,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2005,Roxithromycin,Macrolides,64,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2005,Sulfadimidine,Sulfonamides,31,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2005,Sulfamethoxazole,Sulfonamides,20,NA,ng/g,N46
municipal sludge,sludge,Guangdong,2008,Ciprofloxacin,Fluoroquinolones,1052,NA,ng/g,187
municipal sludge,sludge,Guangdong,2008,Ciprofloxacin,Fluoroquinolones,5753,10921,ng/g,16
municipal sludge,sludge,Guangdong,2008,Norfloxacin,Fluoroquinolones,2002,NA,ng/g,187
municipal sludge,sludge,Guangdong,2008,Norfloxacin,Fluoroquinolones,7325.5,13684,ng/g,16
municipal sludge,sludge,Guangdong,2008,Ofloxacin,Fluoroquinolones,3724,NA,ng/g,187
municipal sludge,sludge,Guangdong,2008,Ofloxacin,Fluoroquinolones,9550.5,17740,ng/g,16
municipal sludge,sludge,Guangdong,2010,Chlortetracycline,Tetracyclines,335,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Ciprofloxacin,Fluoroquinolones,715,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Clarithromycin,Macrolides,29,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Doxycycline,Tetracyclines,232,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Enrofloxacin,Fluoroquinolones,21.4,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Erythromycin-H2O,Macrolides,61.2,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Fleroxacin,Fluoroquinolones,43.5,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Lomefloxacin,Fluoroquinolones,89.29999999999998,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Methacycline,Tetracyclines,21.1,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Norfloxacin,Fluoroquinolones,5610,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Ofloxacin,Fluoroquinolones,5800,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Oxytetracycline,Tetracyclines,1680,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Sulfadimidine,Sulfonamides,1.45,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Sulfamethoxazole,Sulfonamides,4.65,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Tetracycline,Tetracyclines,1650,NA,ng/g,190
municipal sludge,sludge,Guangdong,2010,Trimethoprim,Diaminopyrimidines,6.43,NA,ng/g,190
municipal sludge,sludge,Guangdong,2013,Chloramphenicol,Phenicols,66,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Ciprofloxacin,Fluoroquinolones,69,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Enoxacin,Fluoroquinolones,60,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Enrofloxacin,Fluoroquinolones,72,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Erythromycin-H2O,Macrolides,69,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Levofloxacin,Fluoroquinolones,79,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Lomefloxacin,Fluoroquinolones,81,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Nadifloxacin,Fluoroquinolones,73,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Norfloxacin,Fluoroquinolones,68,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Roxithromycin,Macrolides,89,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfacetamide,Sulfonamides,89,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfachinoxaline,Sulfonamides,63,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfachloropyridazine,Sulfonamides,86,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfadiazine,Sulfonamides,92,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfadimidine,Sulfonamides,83,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfafurazole,Sulfonamides,70,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfamerazine,Sulfonamides,67,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfamethoxazole,Sulfonamides,86,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfanilamide,Sulfonamides,73,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfapyridine,Sulfonamides,96,NA,ng/g,138
municipal sludge,sludge,Guangdong,2013,Sulfathiazole,Sulfonamides,75,NA,ng/g,138
municipal sludge,sludge,Guangdong,2016,Chlortetracycline,Tetracyclines,24900,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Chlortetracycline,Tetracyclines,25650,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Chlortetracycline,Tetracyclines,27050,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Ciprofloxacin,Fluoroquinolones,581,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Ciprofloxacin,Fluoroquinolones,591,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Ciprofloxacin,Fluoroquinolones,652.5,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Doxycycline,Tetracyclines,5340,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Doxycycline,Tetracyclines,6075,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Doxycycline,Tetracyclines,6245,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Enrofloxacin,Fluoroquinolones,1035.5,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Enrofloxacin,Fluoroquinolones,1051,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Enrofloxacin,Fluoroquinolones,1077.5,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Lincomycin,Lincosamides,832,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Lincomycin,Lincosamides,1128.5,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Lincomycin,Lincosamides,1401.5,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Marbofloxacin,Fluoroquinolones,0,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Marbofloxacin,Fluoroquinolones,7,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Methacycline,Tetracyclines,406,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Methacycline,Tetracyclines,427.5,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Methacycline,Tetracyclines,446,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Norfloxacin,Fluoroquinolones,1960,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Norfloxacin,Fluoroquinolones,2067,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Norfloxacin,Fluoroquinolones,2275.5,NA,ng/g,155
municipal sludge,sludge,Guangdong,2016,Ofloxacin,Fluoroquinolones,1445,NA,ng/g,155
