flag_id,publication_id,province,sample_type,matrix,sample_year,antibiotic,unit_raw,mean_raw,unit_converted,mean_converted,flag_codes,flag_reasons,suggested_unit_note,retained_in_env_records,disposition,disposition_note
1,223,Hebei,municipal sludge,sludge,2004,Oxytetracycline,mg/kg dw,4063,ng/g dw,4063000,high_converted;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Another unit scale would place the converted value in the plausible range,"if µg/kg not mg/kg, mean would be 4063 ng/g dw; if ng/g not mg/kg, mean would be 4063 ng/g dw",TRUE,keep — human-confirmed against source,"Li et al. 2008 Table 3: OTC in activated sludge 4,363 ± 520 (SBR) and 3,763 ± 353 mg/kg (continuous-flow); mean 4,063 / max 4,363 match the two reactors. Extreme but source-verified production-WWTP sludge."
18,113,Zhejiang,soil,soil,2016,Roxithromycin,µg/kg dw,0.005,ng/g dw,0.005,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 5000 ng/g dw; if mg/kg not µg/kg, mean would be 5 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
19,113,Zhejiang,soil,soil,2016,Spiramycin,µg/kg dw,0.005,ng/g dw,0.005,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 5000 ng/g dw; if mg/kg not µg/kg, mean would be 5 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
20,184,Zhejiang,soil,soil,2010,Sulfamethoxazole,ng/g,0.00428571428571428,ng/g,0.00428571428571428,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 4286 ng/g; if mg/kg not ng/g, mean would be 4.286 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
21,106,Guangdong,soil,soil,2009,Azithromycin,ng/g,0.004,ng/g,0.004,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 4000 ng/g; if mg/kg not ng/g, mean would be 4 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
22,179,Beijing,soil,soil,2010,Tylosin,ng/g,0.003,ng/g,0.003,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 3000 ng/g; if mg/kg not ng/g, mean would be 3 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
23,189,Shandong,soil,soil,2010,Erythromycin-H2O,ng/g,0.003,ng/g,0.003,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 3000 ng/g; if mg/kg not ng/g, mean would be 3 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
24,179,Shanghai,soil,soil,2006,Tylosin,ng/g,0.003,ng/g,0.003,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 3000 ng/g; if mg/kg not ng/g, mean would be 3 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
25,113,Zhejiang,soil,soil,2016,Flumequine,µg/kg dw,0.003,ng/g dw,0.003,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 3000 ng/g dw; if mg/kg not µg/kg, mean would be 3 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
26,113,Zhejiang,soil,soil,2016,Spiramycin,µg/kg dw,0.003,ng/g dw,0.003,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 3000 ng/g dw; if mg/kg not µg/kg, mean would be 3 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
27,113,Zhejiang,soil,soil,2016,Sulfamethoxazole,µg/kg dw,0.002,ng/g dw,0.002,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 2000 ng/g dw; if mg/kg not µg/kg, mean would be 2 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
