sample_type,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link
municipal wastewater influent,Heilongjiang,Heilongjiang,Ofloxacin,fluoroquinolones,NA,11173.27,ng/L,2024,NA,2025 Guo et al Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China- Terminal treatment is not a reliable guard  Author links open overlay panel Xin-Ming Guo.pdf,Advanced PDF QA 2026-04-28: confirmed from Guo 2025 Northeastern China WWTP text; NA marks unavailable statistic.,N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=2025+Guo+et+al+Comprehensive+assessment+of+45+antibiotics+in+ten+urban+wastewater+treatment+plants+in+Northeastern+China
mariculture sediment,Multiple coastal provinces,Fujian,Doxycycline (DXC),tetracyclines,9.34,40.57,ng/g (dw),2013–2014,NA,Persistence and risk of antibiotic residues and antibiotic resistance genes in major mariculture sites in Southeast China,Advanced PDF QA 2026-04-28: fixed/confirmed from Chen 2017 Table 1 summary across 13 mariculture sites.,N1,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=Persistence+and+risk+of+antibiotic+residues+and+antibiotic+resistance+genes+in+major+mariculture+sites+in+Southeast+Chin
mariculture sediment,Multiple coastal provinces,Fujian,Doxycycline (DXC),tetracyclines,9.34,40.57,ng/g (dw),2013–2014,NA,Persistence and risk of antibiotic residues and antibiotic resistance genes in major mariculture sites in Southeast China,Advanced PDF QA 2026-04-28: fixed/confirmed from Chen 2017 Table 1 summary across 13 mariculture sites.,N6,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=Persistence+and+risk+of+antibiotic+residues+and+antibiotic+resistance+genes+in+major+mariculture+sites+in+Southeast+Chin
sediment,Guangdong,Guangdong,Roxithromycin (RTM),macrolides,NA,13.5,ng/g (dw),2013,NA,Antibiotics in the Coastal Waters and Sediments of China: A Brief Review and Perspective,N42 QA (2026-04-28): Verified values and fixed antibiotic label to canonical abbreviation form for consistency with source notation. Mean concentration not explicitly reported for this summary entry (NA retained).,N42,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=Antibiotics+in+the+Coastal+Waters+and+Sediments+of+China%3A+A+Brief+Review+and+Perspective
mariculture sediment,Multiple coastal provinces,Guangdong,Oxytetracycline (OTC),tetracyclines,7.4,39.5,ng/g (dw),2013–2014,NA,Persistence and risk of antibiotic residues and antibiotic resistance genes in major mariculture sites in Southeast China,Advanced PDF QA 2026-04-28: fixed/confirmed from Chen 2017 Table 1 summary across 13 mariculture sites.,N1,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=Persistence+and+risk+of+antibiotic+residues+and+antibiotic+resistance+genes+in+major+mariculture+sites+in+Southeast+Chin
mariculture sediment,Multiple coastal provinces,Guangdong,Oxytetracycline (OTC),tetracyclines,7.4,39.5,ng/g (dw),2013–2014,NA,Persistence and risk of antibiotic residues and antibiotic resistance genes in major mariculture sites in Southeast China,Advanced PDF QA 2026-04-28: fixed/confirmed from Chen 2017 Table 1 summary across 13 mariculture sites.,N6,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=Persistence+and+risk+of+antibiotic+residues+and+antibiotic+resistance+genes+in+major+mariculture+sites+in+Southeast+Chin
sediment,Guangdong,"Pearl River, site Z1",Ciprofloxacin,fluoroquinolones,242.9,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z2",Ciprofloxacin,fluoroquinolones,349.2,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z3",Ciprofloxacin,fluoroquinolones,88.59999999999999,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z4",Ciprofloxacin,fluoroquinolones,53.8,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z5",Ciprofloxacin,fluoroquinolones,41.5,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z6",Ciprofloxacin,fluoroquinolones,17.8,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z7",Ciprofloxacin,fluoroquinolones,18.8,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z8",Ciprofloxacin,fluoroquinolones,24.1,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z9",Ciprofloxacin,fluoroquinolones,4.4,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z10",Ciprofloxacin,fluoroquinolones,14,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z11",Ciprofloxacin,fluoroquinolones,10.3,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z1",Erythromycin,macrolides,92.5,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z2",Erythromycin,macrolides,78.09999999999999,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z3",Erythromycin,macrolides,137.3,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z4",Erythromycin,macrolides,38.5,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z5",Erythromycin,macrolides,111.7,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z6",Erythromycin,macrolides,13.2,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z7",Erythromycin,macrolides,7.3,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z8",Erythromycin,macrolides,17.2,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z9",Erythromycin,macrolides,83.90000000000001,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z10",Erythromycin,macrolides,85.5,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,Guangdong,"Pearl River, site Z11",Erythromycin,macrolides,86.40000000000001,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
